clean_questions,clean_answer,questions,answers
jenis sepatu,taylors chuck bintang,Betulkah? jenis sepatu apa itu?,ini disebut semua taylors chuck bintang.
taylors chuck bintang,suka harganya,ini disebut semua taylors chuck bintang.,saya sangat suka itu. berapa harganya?
suka harganya,harganya puluh dolar,saya sangat suka itu. berapa harganya?,harganya sekitar empat puluh dolar.
harganya puluh dolar,pikir pergi membeli sepasang,harganya sekitar empat puluh dolar.,Saya pikir saya akan pergi membeli sepasang.
menyukai kenakan,lakukan membeli pakaian,Saya sangat menyukai apa yang Anda kenakan hari ini.,kamu lakukan? Saya baru saja membeli pakaian ini beberapa hari yang lalu.
lakukan membeli pakaian,serius bagus untukmu membelinya,kamu lakukan? Saya baru saja membeli pakaian ini beberapa hari yang lalu.,"serius, itu terlihat sangat bagus untukmu. Di mana Anda membelinya?"
serius bagus untukmu membelinya,membelinya macy mal santa anita,"serius, itu terlihat sangat bagus untukmu. Di mana Anda membelinya?",saya membelinya dari macy di mal santa anita.
membelinya macy mal santa anita,suka pakaian,saya membelinya dari macy di mal santa anita.,Saya sangat suka pakaian itu.
suka pakaian,terima kasih pikir,Saya sangat suka pakaian itu.,Terima kasih. Saya pikir Anda terlihat baik hari ini juga.
terima kasih pikir,terima kasih membeli sepatu,Terima kasih. Saya pikir Anda terlihat baik hari ini juga.,Terima kasih. Saya baru saja membeli sepatu baru ini sebelumnya hari ini.
terima kasih membeli sepatu,bagus,Terima kasih. Saya baru saja membeli sepatu baru ini sebelumnya hari ini.,itu bagus. Apakah mereka?
bagus,chuck,itu bagus. Apakah mereka?,ini beberapa chuck.
chuck,bagus harganya,ini beberapa chuck.,itu bagus. berapa harganya?
bagus harganya,mendapatkannya puluh,itu bagus. berapa harganya?,saya mendapatkannya untuk empat puluh.
mendapatkannya puluh,pikir pergi menemukan sepasang chuck,saya mendapatkannya untuk empat puluh.,Saya pikir saya mungkin pergi dan menemukan saya sepasang chuck saya sendiri.
pikir manis,pakaian,Saya pikir Anda terlihat sangat manis hari ini.,Apakah itu benar? ini adalah pakaian baru.
pakaian,toko mendapatkannya,Apakah itu benar? ini adalah pakaian baru.,dari toko mana kamu mendapatkannya?
toko mendapatkannya,pergi macys mengambilnya,dari toko mana kamu mendapatkannya?,saya pergi ke macy's dan mengambilnya.
pergi macys mengambilnya,suka pakaian,saya pergi ke macy's dan mengambilnya.,Saya suka pakaian Anda sekarang.
suka pakaian,baiklah pikir cantik,Saya suka pakaian Anda sekarang.,"baiklah, aku pikir kamu juga terlihat cantik hari ini."
baiklah pikir cantik,terima kasih menemukan sepatu toko,"baiklah, aku pikir kamu juga terlihat cantik hari ini.",Terima kasih. Saya menemukan sepatu baru ini sebelumnya di toko.
terima kasih menemukan sepatu toko,pikir sepatu bagus jenis,Terima kasih. Saya menemukan sepatu baru ini sebelumnya di toko.,Saya pikir itu adalah beberapa sepatu yang sangat bagus. jenis apa mereka?
pikir sepatu bagus jenis,chuck,Saya pikir itu adalah beberapa sepatu yang sangat bagus. jenis apa mereka?,ini adalah chuck.
chuck,sepatumu bagus mendapatkannya,ini adalah chuck.,sepatumu terlihat sangat bagus. berapa banyak kamu mendapatkannya?
sepatumu bagus mendapatkannya,menghabiskan biaya puluh dolar,sepatumu terlihat sangat bagus. berapa banyak kamu mendapatkannya?,mereka hanya menghabiskan biaya sekitar empat puluh dolar.
padaku senang lakukan luang,menikmati menggambar melukis,"katakan padaku, apa yang kamu senang lakukan di waktu luang?",saya menikmati menggambar dan melukis.
menikmati menggambar melukis,menggambar melukis,saya menikmati menggambar dan melukis.,Anda tahu cara menggambar dan melukis?
menggambar melukis,ya,Anda tahu cara menggambar dan melukis?,"ya, benar."
ya,belajar,"ya, benar.",kapan Anda belajar bagaimana melakukan itu?
belajar,belajar sekolah menengah,kapan Anda belajar bagaimana melakukan itu?,saya belajar kembali di sekolah menengah.
belajar sekolah menengah,oh mengambil kelas seni,saya belajar kembali di sekolah menengah.,"oh, jadi kamu mengambil kelas seni?"
oh mengambil kelas seni,ya suka kelas,"oh, jadi kamu mengambil kelas seni?","ya, saya suka kelas itu."
ya suka kelas,berbakat,"ya, saya suka kelas itu.",saya melihat bahwa Anda cukup berbakat.
berbakat,terima kasih,saya melihat bahwa Anda cukup berbakat.,Terima kasih banyak.
terima kasih,berharap memiliki bakat,Terima kasih banyak.,Saya berharap saya memiliki bakat seperti itu.
berharap memiliki bakat,memiliki bakat disembunyikan,Saya berharap saya memiliki bakat seperti itu.,saya yakin Anda memiliki bakat. itu hanya disembunyikan.
halhal suka lakukan,suka menggambar melukis,hal-hal apa yang suka kamu lakukan?,Saya selalu suka menggambar dan melukis.
suka menggambar melukis,menggambar melukis,Saya selalu suka menggambar dan melukis.,Saya tidak tahu Anda tahu cara menggambar dan melukis.
menggambar melukis,melakukannya,Saya tidak tahu Anda tahu cara menggambar dan melukis.,saya melakukannya sesekali.
melakukannya,,saya melakukannya sesekali.,Berapa lama Anda tahu bagaimana melakukan itu?
,kali belajar melakukannya sekolah menengah,Berapa lama Anda tahu bagaimana melakukan itu?,Saya pertama kali belajar bagaimana melakukannya di sekolah menengah.
kali belajar melakukannya sekolah menengah,mengambil kelas seni semacamnya,Saya pertama kali belajar bagaimana melakukannya di sekolah menengah.,apakah kamu mengambil kelas seni atau semacamnya?
mengambil kelas seni semacamnya,kelas favoritku,apakah kamu mengambil kelas seni atau semacamnya?,itu kelas favoritku.
kelas favoritku,berbakat,itu kelas favoritku.,kamu harus berbakat.
berbakat,terima kasih,kamu harus berbakat.,Terima kasih.
terima kasih,berbakat,Terima kasih.,kalau saja saya berbakat.
berbakat,memiliki bakat,kalau saja saya berbakat.,Anda memiliki bakat. Anda belum tahu apa itu.
hobi lakukan,terkadang menggambar melukis,apakah ada hobi yang kamu lakukan?,"ketika saya punya waktu, saya terkadang menggambar dan melukis."
terkadang menggambar melukis,oh benarbenar,"ketika saya punya waktu, saya terkadang menggambar dan melukis.","oh, kamu benar-benar melakukan itu?"
oh benarbenar,ya,"oh, kamu benar-benar melakukan itu?","sering sekali, ya."
ya,menggambar melukis,"sering sekali, ya.",apakah kamu selalu tahu cara menggambar dan melukis?
menggambar melukis,diajari sekolah menengah menggambar melukis,apakah kamu selalu tahu cara menggambar dan melukis?,Saya diajari di sekolah menengah cara menggambar dan melukis.
diajari sekolah menengah menggambar melukis,kelas seni,Saya diajari di sekolah menengah cara menggambar dan melukis.,kamu punya kelas seni?
kelas seni,tepatnya kelas favoritku,kamu punya kelas seni?,"tepatnya, itu adalah kelas favoritku."
tepatnya kelas favoritku,baiklah baguslah kau berbakat,"tepatnya, itu adalah kelas favoritku.","baiklah, baguslah kau begitu berbakat."
baiklah baguslah kau berbakat,menghargai,"baiklah, baguslah kau begitu berbakat.",Saya menghargai itu.
menghargai,bakat hebat berharap memilikinya,Saya menghargai itu.,"bakat adalah hal yang hebat, saya berharap saya memilikinya."
film favoritmu,film favorit superbad,apa film favoritmu?,film favorit saya adalah superbad.
film favorit superbad,oh,film favorit saya adalah superbad.,oh kenapa begitu
oh,film terlucu lihat,oh kenapa begitu,itu film terlucu yang pernah saya lihat.
film terlucu lihat,film lucu,itu film terlucu yang pernah saya lihat.,itu benar. itu adalah film yang sangat lucu.
film lucu,,itu benar. itu adalah film yang sangat lucu.,Anda pernah melihatnya sebelumnya? 
,ya menonton film ditayangkan bioskop,Anda pernah melihatnya sebelumnya? ,"ya, saya menonton film itu pada hari pertama ditayangkan di bioskop."
ya menonton film ditayangkan bioskop,tertawa film melakukannya,"ya, saya menonton film itu pada hari pertama ditayangkan di bioskop.",apakah kamu tidak tertawa sepanjang film? aku melakukannya.
tertawa film melakukannya,film berlinang air mata,apakah kamu tidak tertawa sepanjang film? aku melakukannya.,saya juga. film itu membuat saya berlinang air mata.
film berlinang air mata,milikku,saya juga. film itu membuat saya berlinang air mata.,milikku juga.
milikku,memilikinya dvd rumah menontonnya,milikku juga.,Saya memilikinya di DVD di rumah saya jika Anda ingin datang dan menontonnya.
memilikinya dvd rumah menontonnya,ayo pergi,Saya memilikinya di DVD di rumah saya jika Anda ingin datang dan menontonnya.,"tentu, ayo pergi."
film favorit ditonton,film favorit superbad,film mana yang menjadi favorit kamu untuk ditonton?,"harus saya katakan, film favorit saya adalah superbad."
film favorit superbad,,"harus saya katakan, film favorit saya adalah superbad.",Apakah itu benar? Mengapa?
,sejujurnya salah film terlucu lihat,Apakah itu benar? Mengapa?,"sejujurnya, ini adalah salah satu film terlucu yang pernah saya lihat dalam waktu yang lama."
sejujurnya salah film terlucu lihat,film lucu,"sejujurnya, ini adalah salah satu film terlucu yang pernah saya lihat dalam waktu yang lama.",kamu benar. film itu lucu.
film lucu,berpikir film,kamu benar. film itu lucu.,Saya tidak berpikir Anda melihat film itu.
berpikir film,pergi,Saya tidak berpikir Anda melihat film itu.,saya pergi untuk melihatnya pada hari itu keluar.
pergi,tertawa film,saya pergi untuk melihatnya pada hari itu keluar.,saya tertawa sepanjang film.
tertawa film,menahan tawa,saya tertawa sepanjang film.,aku juga tidak bisa menahan tawa. 
menahan tawa,,aku juga tidak bisa menahan tawa. ,sama disini.
,membeli filmnya maukah rumah menontonnya,sama disini.,saya membeli filmnya. maukah kamu datang ke rumah saya dan menontonnya?
membeli filmnya maukah rumah menontonnya,,saya membeli filmnya. maukah kamu datang ke rumah saya dan menontonnya?,tentu saja.
film tonton favorit,superbad film terbaik,"Dari setiap film yang pernah Anda tonton, mana yang menjadi favorit Anda?",Saya harus mengatakan bahwa superbad adalah film terbaik yang pernah ada.
superbad film terbaik,pikir,Saya harus mengatakan bahwa superbad adalah film terbaik yang pernah ada.,"Anda pikir begitu, kenapa bisa?"
pikir,well superbad lucu,"Anda pikir begitu, kenapa bisa?","well, superbad sangat lucu."
well superbad lucu,berbohong menemukan film benarbenar lucu,"well, superbad sangat lucu.","Anda tidak berbohong, saya menemukan bahwa film itu benar-benar lucu."
berbohong menemukan film benarbenar lucu,superbad,"Anda tidak berbohong, saya menemukan bahwa film itu benar-benar lucu.",saya tidak tahu bahwa Anda melihat superbad sebelumnya.
superbad,mengantre,saya tidak tahu bahwa Anda melihat superbad sebelumnya.,saya memastikan untuk mengantre untuk melihatnya pada hari pertama keluar.
mengantre,menahan tawa film,saya memastikan untuk mengantre untuk melihatnya pada hari pertama keluar.,saya tidak bisa menahan tawa sepanjang film.
menahan tawa film,tertawa histeris otot perut sakit,saya tidak bisa menahan tawa sepanjang film.,saya tertawa histeris sepanjang waktu; otot perut saya sakit sesudahnya.
tertawa histeris otot perut sakit,rasakan,saya tertawa histeris sepanjang waktu; otot perut saya sakit sesudahnya.,itulah yang saya rasakan.
rasakan,filmnya dvd,itulah yang saya rasakan.,"Saya mendapatkan filmnya ketika sudah keluar di DVD, apakah Anda ingin datang?"
jenis musik suka dengarkan,suka mendengarkan jenis musik,jenis musik apa yang suka kamu dengarkan?,Saya suka mendengarkan berbagai jenis musik.
suka mendengarkan jenis musik,,Saya suka mendengarkan berbagai jenis musik.,seperti apa misalnya?
,menikmati rock r b,seperti apa misalnya?,Saya menikmati rock dan r & b.
menikmati rock r b,,Saya menikmati rock dan r & b.,mengapa demikian?
,suka instrumen berbeda,mengapa demikian?,Saya suka instrumen berbeda yang mereka gunakan.
suka instrumen berbeda,alasan bagus menyukai,Saya suka instrumen berbeda yang mereka gunakan.,itu alasan yang bagus untuk menyukai sesuatu.
alasan bagus menyukai,ya pikir,itu alasan yang bagus untuk menyukai sesuatu.,"ya, saya pikir juga begitu."
jenis musik suka dengarkan,menikmati mendengarkan jenis musik,jenis musik apa yang kamu suka dengarkan?,Saya menikmati mendengarkan semua jenis musik.
menikmati mendengarkan jenis musik,jenis,Saya menikmati mendengarkan semua jenis musik.,jenis apa?
jenis,suka mendengarkan rock r b,jenis apa?,saya suka mendengarkan rock dan r & b.
suka mendengarkan rock r b,suka jenis musik,saya suka mendengarkan rock dan r & b.,kenapa kamu suka jenis musik itu?
suka jenis musik,suka jenis instrumen,kenapa kamu suka jenis musik itu?,Saya suka jenis instrumen yang mereka gunakan.
suka jenis instrumen,pikir alasan bagus menyukai,Saya suka jenis instrumen yang mereka gunakan.,Saya pikir itu alasan yang bagus untuk menyukai sesuatu.
pikir alasan bagus menyukai,terima kasih merasakan,Saya pikir itu alasan yang bagus untuk menyukai sesuatu.,"terima kasih, saya merasakan hal yang sama."
jenis musik favoritmu,mendengarkan jenis musik,Apa jenis musik favoritmu?,saya mendengarkan berbagai jenis musik.
mendengarkan jenis musik,genre,saya mendengarkan berbagai jenis musik.,genre apa?
genre,menikmati mendengarkan rock r b,genre apa?,Saya menikmati mendengarkan rock dan r & b.
menikmati mendengarkan rock r b,membuatmu tertarik jenis musik,Saya menikmati mendengarkan rock dan r & b.,apa yang membuatmu tertarik dengan jenis musik itu?
membuatmu tertarik jenis musik,menikmati jenis instrumen,apa yang membuatmu tertarik dengan jenis musik itu?,Saya menikmati berbagai jenis instrumen yang mereka gunakan.
menikmati jenis instrumen,alasan sempurna menyukai jenis musik,Saya menikmati berbagai jenis instrumen yang mereka gunakan.,itulah alasan yang sempurna untuk menyukai jenis musik tertentu.
pergi pertandingan bola basket jumat,hadir,apakah kamu pergi ke pertandingan bola basket pada hari jumat?,"tidak, saya tidak bisa hadir."
hadir,melewatkan pertandingan bagus,"tidak, saya tidak bisa hadir.",Anda melewatkan pertandingan yang sangat bagus.
melewatkan pertandingan bagus,oh menang,Anda melewatkan pertandingan yang sangat bagus.,Oh benarkah? siapa yang menang?
oh menang,sekolah melakukannya bermain bagus,Oh benarkah? siapa yang menang?,sekolah kami melakukannya. mereka bermain sangat bagus.
sekolah melakukannya bermain bagus,sayang sibuk benarbenar pergi,sekolah kami melakukannya. mereka bermain sangat bagus.,sayang sekali saya sibuk. saya benar-benar ingin pergi.
sayang sibuk benarbenar pergi,ya menyenangkan,sayang sekali saya sibuk. saya benar-benar ingin pergi.,"ya, kamu harus punya. itu sangat menyenangkan."
ya menyenangkan,skornya,"ya, kamu harus punya. itu sangat menyenangkan.",jadi berapa skornya?
skornya,skornya 10198,jadi berapa skornya?,skornya 101-98.
skornya 10198,man pertandingan,skornya 101-98.,"man, itu adalah pertandingan yang sangat dekat."
man pertandingan,membuatnya hebat,"man, itu adalah pertandingan yang sangat dekat.",itulah yang membuatnya begitu hebat.
membuatnya hebat,membuatnya,itulah yang membuatnya begitu hebat.,saya akan memastikan dan membuatnya ke yang berikutnya.
menghadiri pertandingan basket jumat malam,,apakah kamu bisa menghadiri pertandingan basket Jumat malam?,saya tidak bisa datang.
,disana intens,saya tidak bisa datang.,kamu seharusnya ada disana. itu intens.
disana intens,menang,kamu seharusnya ada disana. itu intens.,Apakah itu benar. siapa yang akhirnya menang?
menang,tim menang,Apakah itu benar. siapa yang akhirnya menang?,tim kami menang.
tim menang,berharap bebas malam marah pergi,tim kami menang.,Saya berharap saya bebas malam itu. Saya agak marah karena saya tidak pergi.
berharap bebas malam marah pergi,permainan bagus,Saya berharap saya bebas malam itu. Saya agak marah karena saya tidak pergi.,itu adalah permainan yang bagus.
permainan bagus,skor pertandingan,itu adalah permainan yang bagus.,berapa skor di akhir pertandingan?
skor pertandingan,tim menang 10198,berapa skor di akhir pertandingan?,tim kami menang 101-98.
tim menang 10198,terdengar pertandingan,tim kami menang 101-98.,terdengar seperti pertandingan yang dekat.
terdengar pertandingan,alasan permainan,terdengar seperti pertandingan yang dekat.,itulah alasan mengapa itu adalah permainan yang luar biasa.
alasan permainan,pertandingan,itulah alasan mengapa itu adalah permainan yang luar biasa.,"pertandingan berikutnya, saya pasti akan berada di sana."
pertandingan bola basket jumat,pergi,Saya bermaksud bertanya apakah Anda melihat pertandingan bola basket pada hari Jumat.,"saya ingin pergi, tetapi saya tidak bisa."
pergi,permainan bagus,"saya ingin pergi, tetapi saya tidak bisa.",itu adalah permainan yang bagus.
permainan bagus,sayang hadir menang,itu adalah permainan yang bagus.,Sayang sekali aku tidak bisa hadir. siapa yang menang?
sayang hadir menang,tim bermain keras menang,Sayang sekali aku tidak bisa hadir. siapa yang menang?,tim kami bermain keras dan menang.
tim bermain keras menang,benarbenar berharap pergi permainan,tim kami bermain keras dan menang.,Saya benar-benar berharap saya pergi ke permainan.
benarbenar berharap pergi permainan,game terbaik,Saya benar-benar berharap saya pergi ke permainan.,itu adalah game terbaik yang pernah ada.
game terbaik,skor,itu adalah game terbaik yang pernah ada.,jadi beri tahu saya skor akhirnya.
skor,tim kalah poin 10198,jadi beri tahu saya skor akhirnya.,"tim lainnya kalah tiga poin, 101-98. "
tim kalah poin 10198,pertandingan,"tim lainnya kalah tiga poin, 101-98. ",itu pasti pertandingan yang dekat.
pertandingan,benarbenar pergi,itu pasti pertandingan yang dekat.,itu benar-benar. kamu harus pergi.
lakukan minggu,pergi bioskop teman,apa yang kamu lakukan minggu ini?,Saya pergi ke bioskop dengan seorang teman. bagaimana dengan kamu?
