questions,answers
whats going on,"nothing really, you?"
nothing really you,i'm throwing a party next saturday.
im throwing a party next saturday,is that right?
is that right,"yeah, are you going to come?"
yeah are you going to come,"i'm sorry, i can't."
im sorry i cant,why not?
why not,i don't really want to.
i dont really want to,"well, why don't you?"
well why dont you,i hate going to parties.
i hate going to parties,"well, that's okay."
well thats okay,"yeah, sorry."
whats up,"nothing, how about you?"
nothing how about you,"next saturday, i'm going to have a party."
next saturday im going to have a party,"oh, really?"
oh really,you are coming?
you are coming,probably not.
probably not,why is that?
why is that,i don't feel like going.
i dont feel like going,why not?
why not,i really can't stand going to parties.
i really cant stand going to parties,"i understand, i guess."
i understand i guess,sorry about that.
whats happening,"not a lot, what about you?"
not a lot what about you,i'm having a party next saturday.
im having a party next saturday,that's nice.
thats nice,are you going to be there?
are you going to be there,i don't think so.
i dont think so,is there a reason why?
is there a reason why,i just really don't want to go.
i just really dont want to go,how come?
how come,i don't really like parties.
i dont really like parties,"i wish you would go, but that's okay."
whats up,"nothing much, what's going on?"
nothing much whats going on,i'm having a party this friday.
im having a party this friday,"oh, really? that's nice."
oh really thats nice,i wanted to see if you wanted to come.
i wanted to see if you wanted to come,"this friday? sorry, i already have plans."
this friday sorry i already have plans,doing what?
doing what,i'm going to dinner with my family.
im going to dinner with my family,"i really wanted you to come, but i understand."
i really wanted you to come but i understand,"yeah, maybe next time."
yeah maybe next time,i'll hold you to that.
ill hold you to that,sounds like a plan.
hey whats good with you,not a lot. what about you?
not a lot what about you,i'm throwing a party on friday.
im throwing a party on friday,that sounds like fun.
that sounds like fun,do you think you can come?
do you think you can come,i'm sorry. i'm already doing something this friday.
im sorry im already doing something this friday,what are you going to be doing?
what are you going to be doing,my family and i are going to dinner.
my family and i are going to dinner,i was hoping you would come.
i was hoping you would come,i'll definitely try to make it the next time.
ill definitely try to make it the next time,i'd better see you there.
id better see you there,all right. i'll see you next time.
whats going on,nothing really. how about you?
nothing really how about you,"a lot, like the party i'm having on friday."
a lot like the party im having on friday,"well, that's cool."
well thats cool,will you be able to make it?
will you be able to make it,i'm busy this friday. i'm sorry.
im busy this friday im sorry,what do you have to do?
what do you have to do,i'm having dinner with my family
im having dinner with my family,maybe you can come next time.
